Type,City,State,PDF_Name,,usda_zones,green roof,species,biodiversity,plant,habitat,diversity,ecosystem.service,lit_score,elevation,usda_zones_dec,latitude,longitude,R_squared,skewness,total_words,POPULATION,BUILDVALUE,AGRIVALUE,AREA,EAL_SCORE,EAL_RATNG
CC,Apache Junction,AZ,ApacheJunctionCode_AZ,,9b,0,1,0,1,1,0,0,3,522,9.5,33.41505,-111.54958,0.959933135,41.45191916,2538964950,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Carefree,AZ,CarefreeCode_AZ,,9b,0,1,0,0,0,0,0,1,720,9.5,33.82224,-111.91817,0.965124663,26.2887727,283128000,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Cave creek,AZ,CaveCreekCode_AZ,,9b,0,1,0,1,0,0,0,2,677,9.5,33.83333,-111.95083,0.960379668,31.3269616,564746567,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,ElMirage,AZ,ElMirageCode_AZ,,9a,0,1,0,1,0,0,0,2,695,9,34.82651,-114.0584,0.958395427,39.26629946,1351831704,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Florence,AZ,FlorenceCode_AZ,,9b,0,1,0,1,0,1,0,3,458,9.5,33.03145,-111.38734,0.964511011,40.44744069,1683075912,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Fountain Hills,AZ,FountainHillsCode,,9b,0,1,0,1,1,0,0,3,510,9.5,33.61171,-111.71736,0.966806477,32.6432572,665731836,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Goodyear,AZ,GoodyearCode_AZ,,9b,0,1,0,1,1,1,0,4,280,9.5,33.40735,-112.39348,0.958822393,37.3964956,2230996960,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Litchfield Park,AZ,LitchfieldParkCodePt2_AZ,,9b,0,1,0,1,0,1,0,3,310,9.5,33.49338,-112.35812,0.971865898,25.99459,317347249,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Maricopa,AZ,MaricopaCode_AZ,,9b,0,1,0,1,1,1,0,4,269,9.5,33.34883,-112.49123,0.957146103,39.11065825,2628285894,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Mesa,AZ,MesaCode_AZ,,10a,0,1,0,1,1,1,0,4,378,10,33.4151,-111.83146,0.960555647,45.19445733,4163465649,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,ParadiseValley,AZ,ParadiseValleyCode_AZ,,10a,0,1,0,1,1,0,0,3,423,10,33.5851,-111.97907,0.948732385,41.06084933,4416635656,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Peoria,AZ,PeoriaCode_AZ,,9b,0,1,0,1,1,1,0,4,345,9.5,33.58061,-112.23729,0.95503981,45.40535615,5954080300,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Phoenix,AZ,PhoenixZoningOrdinance,,10a,0,1,0,1,0,1,0,3,333,10,33.44844,-112.07414,0.965214396,16.91512846,243847065,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Queen creek,AZ,QueenCreekCode_AZ,,9b,0,1,0,1,0,0,0,2,421,9.5,33.24839,-111.63416,0.960322893,36.76176242,1309230068,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Wickenburg,AZ,WickenburgCode_AZ,,9a,0,1,0,1,0,0,0,2,645,9,33.9681,-112.73014,0.962032985,40.03393343,1805241830,7144933,1.21075E+12,4418227707,115135.74,37.5,Relatively Moderate
CC,Alhambra,CA,AlhambraCode_CA,,10a,0,1,0,1,1,1,0,4,152,10,34.09304,-118.12706,0.952559401,44.69348258,6264290850,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Avalon,CA,AvalonCode_CA,,10b,0,1,0,1,1,0,0,3,63,10.5,33.34221,-118.32726,0.961253012,38.1021678,1941365580,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Bellflower,CA,BellflowerCode_CA,,10b,0,1,0,1,1,1,0,4,23,10.5,33.88257,-118.11677,0.963414792,45.84259179,5063274468,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Covina,CA,CovinaCode_CA,,10a,0,1,0,1,1,0,0,3,156,10,34.08779,-117.88912,0.955791414,40.50918843,4372682640,39501350,6.89836E+12,51791396256,165346.48,100,Very High
LO,Fresno,CA,CA_Fresno_LO,,9b,0,1,0,1,1,0,0,3,91,9.5,36.73944,-119.78483,0.964584685,16.4307003,38132672,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Hermosa Beach,CA,HermosaBeachCode_CA,,11a,0,1,0,1,1,1,0,4,28,11,33.86428,-118.39591,0.958100908,40.37055395,3798347607,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,LaPuente,CA,LaPuenteCodePt1_CA,,10b,0,1,0,1,1,1,0,4,186,10.5,34.0198318,-117.9502402,0.961183748,36.42623769,1310387599,39501350,6.89836E+12,51791396256,165346.48,100,Very High
LO,Los Angeles,CA,CA_Losangeles_LO,,10b,0,1,0,1,0,1,0,3,107,10.5,34.05369,-118.24277,0.976499243,16.13016611,29437043,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Lynwood,CA,LynwoodCode_CA,,10b,0,1,0,1,1,1,0,4,27,10.5,33.92483,-118.20242,0.960834303,43.98971632,4532738922,39501350,6.89836E+12,51791396256,165346.48,100,Very High
LO,Oakland,CA,CA_Oakland_LO,,10a,0,1,0,1,0,0,0,2,7,10,37.80446,-122.27136,0.955864973,6.382867611,901000,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Palos Verdes Estates,CA,PalosVerdesEstatesCode_CA,,11a,0,1,0,1,1,1,0,4,46,11,33.78724,-118.40181,0.966838509,35.02224327,1224486720,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Paramount,CA,ParamountCode_CA,,10b,0,1,0,1,1,1,0,4,25,10.5,33.89892,-118.171,0.95020929,38.3429316,3943126880,39501350,6.89836E+12,51791396256,165346.48,100,Very High
LO,Sacramento,CA,CA_Sacremento_LO,,9b,0,1,0,1,1,0,0,3,8,9.5,38.58106,-121.49389,0.966616515,14.84275859,36076976,39501350,6.89836E+12,51791396256,165346.48,100,Very High
LO,San Diego,CA,CA_San Diego_LO,,11a,0,1,0,1,1,0,0,3,35,11,32.71742,-117.16277,0.964973243,15.0151407,25964302,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,SignalHill,CA,SignalHillCodePt1_CA,,10b,0,1,0,1,1,1,0,4,24,10.5,33.8045,-118.1678,0.959235352,34.61202994,968672271,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Temple city,CA,TempleCode_CA,,10b,0,1,0,1,1,1,0,4,1082,10.5,34.10693795,-118.057098,0.956552918,39.10900956,2776763969,39501350,6.89836E+12,51791396256,165346.48,100,Very High
CC,Torrance,CA,TorranceCode,,10b,0,1,0,1,1,1,0,4,23,10.5,33.83714,-118.34136,0.961341878,38.27151539,1882772528,39501350,6.89836E+12,51791396256,165346.48,100,Very High
LO,Torrance,CA ,CA_Torrence_LO,,10b,0,1,0,1,1,0,0,3,29,10.5,33.83714,-118.34136,0.964584685,16.4307003,38132672,39501350,6.89836E+12,51791396256,165346.48,100,Very High
LO,Aurora,CO,CO_Aurora_LO,,6a,0,1,0,1,0,0,0,2,1648,6,39.74051,-104.83099,0.967250576,13.03849819,36453660,5768835,1.03511E+12,8592360391,105145.76,53.57142857,Relatively Moderate
LO,Boulder,CO,CO_Boulder_LO,,6a,0,1,0,1,0,0,0,2,1656,6,40.01499,-105.27054,0.964540216,10.20982404,1841450,5768835,1.03511E+12,8592360391,105145.76,53.57142857,Relatively Moderate
LO,Denver,CO,CO_Denver_LO,,6a,0,1,0,1,0,0,0,2,1611,6,39.73924,-104.98486,0.963742766,8.425809045,4516330,5768835,1.03511E+12,8592360391,105145.76,53.57142857,Relatively Moderate
LO,Delray beach,FL,FL_Delraybeach_LO,,11a,0,1,0,1,0,0,0,2,8,11,26.46146,-80.07282,0.972753106,12.15243374,12905788,21506751,3.25352E+12,8438830961,72124.37,98.21428571,Very High
LO,Fort Lauderdale,FL,FL_FortLauderdale_LO,,11a,0,1,0,1,1,1,0,4,9,11,26.12231,-80.14338,0.972817457,16.40595014,33851692,21506751,3.25352E+12,8438830961,72124.37,98.21428571,Very High
LO,Jacksonville,FL,FL_Jacksonville_LO,,9b,0,1,0,1,0,0,0,2,7,9.5,30.33218,-81.65565,0.95620701,6.887937704,1351011,21506751,3.25352E+12,8438830961,72124.37,98.21428571,Very High
CC,Miami,FL,MiamiCode,,11a,0,1,0,1,1,1,0,4,9,11,25.77417,-80.19362,0.949259437,49.71171964,7663783328,21506751,3.25352E+12,8438830961,72124.37,98.21428571,Very High
CC,Miami Gardens,FL,MiamiGardensCode_FL,,11a,0,1,0,1,1,1,0,4,9,11,25.94204,-80.2456,0.954867365,43.84813683,3701082224,21506751,3.25352E+12,8438830961,72124.37,98.21428571,Very High
CC,Virginia Gardens,FL,VirginiaGardensCode_FL,,11a,0,1,0,1,0,0,0,2,8,11,25.81038,-80.30227,0.960925907,35.1051241,910714730,21506751,3.25352E+12,8438830961,72124.37,98.21428571,Very High
LO,Atlanta,GA,GE_Atlanta_LO,,8a,0,1,0,1,0,0,0,2,312,8,33.74899,-84.39026,0.977780681,20.49646869,34364240,10695030,1.99377E+12,10980489764,60022.94,82.14285714,Relatively High
LO,Ames,IA,IA_Ames_LO,,5b,0,1,0,1,0,1,0,3,284,5.5,42.02676,-93.61704,0.970052027,11.10068873,8512944,3189039,7.58531E+11,33212624297,56840.82,62.5,Relatively Moderate
LO,Boise,ID,ID_Boise_LO,,7a,0,1,0,1,1,1,0,4,846,7,43.61662,-116.20089,0.966817174,12.36372918,9124458,1837016,3.65114E+11,8679561801,84412.19,26.78571429,Relatively Low
LO,Springfield,IL,IL_Springfield_LO,,6a,0,0,0,1,1,0,0,2,184,6,39.79902,-89.64396,0.972185968,25.96556294,56796390,12804624,2.6845E+12,19510224268,58498.07,85.71428571,Relatively High
LO,Frankfort,KY,KY_Frankfort_LO,,6b,0,1,0,1,0,0,0,2,192,6.5,38.20091,-84.87328,0.963220322,12.66506247,6948396,4501790,8.44997E+11,6581491994,40813.82,55.35714286,Relatively Moderate
CC,Bedford,MA,BedfordCode_MA,,6b,0,0,0,1,0,1,0,2,47,6.5,42.49173,-71.28179,0.971439252,25.32209292,172778085,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Boston,MA,BostonMunicipalCode,,7a,0,1,0,1,0,1,0,3,8,7,42.35543,-71.06051,0.958298904,43.35322611,2799353090,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Canton,MA,CantonCode_MA,,6b,0,1,0,1,1,0,0,3,39,6.5,42.15843,-71.14477,0.969073449,30.18962391,396798552,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Carlisle,MA,CarlisleCode_MA,,6b,0,1,0,1,1,0,0,3,70,6.5,42.52926,-71.3495,0.970606989,26.67926441,168428442,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Duxbury,MA,DuxburyCode_MA,,7a,0,1,0,1,1,1,0,4,4,7,42.04177,-70.67226,0.965683645,31.25830173,480245800,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Everett,MA,EverettCode_MA,,7a,0,1,0,1,1,1,0,4,18,7,42.40872,-71.05399,0.939137495,40.94939662,3651528289,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Hamilton,MA,HamiltonCode_MA,,6b,0,1,0,1,1,0,0,3,18,6.5,42.63621,-70.8431,0.97124129,24.43513169,90522310,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Hopkinton,MA,HopkintonCode_MA,,6b,0,1,0,1,1,1,0,4,121,6.5,42.22889,-71.51964,0.961231072,33.60434204,751293517,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Lynn,MA,LynnCode_MA,,7a,0,1,0,1,0,0,0,2,5,7,42.46676,-70.94949,0.96378344,33.18933809,823267230,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Lynnfield,MA,LynnfieldCode_MA,,6b,0,1,0,1,1,0,0,3,35,6.5,42.53898,-71.04811,0.965365751,35.90068531,826330620,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Malden,MA,MaldenCode_MA,,6b,0,1,0,1,0,0,0,2,17,6.5,42.42685,-71.06837,0.958330599,33.55464362,1498047970,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Marshfield,MA,MarshfieldCode_MA,,7a,0,1,0,1,1,0,0,3,24,7,42.09177,-70.70559,0.967808816,36.47518797,800523955,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Melrose,MA,MelroseCode_MA,,6b,0,1,0,1,1,1,0,4,47,6.5,42.45643,-71.06418,0.963279011,35.85484291,1326447675,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Milton,MA,MiltonCode_MA,,6b,0,1,0,1,1,0,0,3,29,6.5,42.25014,-71.06557,0.971267026,27.80018166,309331446,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Nahant,MA,NahantCode_MA,,7a,0,0,0,0,0,0,0,0,-11,7,42.42649,-70.91894,0.974426883,14.8955436,12024192,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Natick,MA,NatickCode_MA,,6b,0,1,0,1,1,1,0,4,59,6.5,42.28364,-71.347,0.966299692,27.91771046,234821342,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Norfolk,MA,NorfolkCode_MA,,6b,0,1,0,1,1,0,0,3,38,6.5,42.15386,-71.1828,0.973861015,24.71465196,115016110,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,North Reading,MA,NorthReadingCode_MA,,6b,0,1,0,1,1,1,0,4,39,6.5,42.57509,-71.07867,0.9623724,36.97733698,1122344960,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Norwood,MA,NorwoodCode_MA,,6b,0,1,0,1,1,1,0,4,35,6.5,42.19454,-71.1995,0.965008298,24.725379,203907202,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Pembroke,MA,PembrokeCode_MA,,6b,0,1,0,1,1,0,0,3,23,6.5,42.07149,-70.80921,0.96839306,30.72989028,352818048,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Randolph,MA,RandolphCode_MA,,6b,0,1,0,1,1,0,0,3,64,6.5,42.1618,-71.04248,0.970833484,31.43621101,601408808,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Scituate,MA,ScituateCode_MA,,7a,0,1,0,1,1,0,0,3,6,7,42.19245,-70.7262,0.97229654,24.37705911,172656520,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Southborough,MA,SouthboroughCode_MA,,6b,0,1,0,1,1,1,0,4,94,6.5,42.30565,-71.52451,0.96173979,33.39384903,624368576,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Topsfield,MA,TopsfieldCode_MA,,6b,0,1,0,1,1,1,0,4,30,6.5,42.63908,-70.95075,0.965014085,30.5670588,326673487,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Town of Westwood,MA,WestwoodCode_MA,,6b,0,1,0,1,1,0,0,3,272,6.5,42.23828854,-71.21864365,0.962432219,31.92197728,740035076,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Watertown,MA,WatertownCode_MA,,6b,0,1,0,1,1,0,0,3,30,6.5,42.36525,-71.18432,0.966729616,30.54245787,347583672,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Wayland,MA,WaylandCode_MA,,6b,0,1,0,1,1,1,0,4,60,6.5,42.36321,-71.36067,0.96463456,34.10243401,793130800,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Weston,MA,WestonCode_MA,,6b,0,1,0,1,1,0,0,3,68,6.5,42.36676,-71.30311,0.964750324,34.26077391,570895852,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Hudson,MA ,HudsonCode_MA,,6b,0,0,0,1,1,1,0,3,91,6.5,42.39135,-71.56769,0.967249439,31.44854477,380638762,7021936,1.27451E+12,545032595,10660.67,39.28571429,Relatively Moderate
CC,Aberdeen,MD,AberdeenCode_MD,,7b,0,1,0,1,1,1,0,4,23,7.5,39.51203,-76.16433,0.960654557,37.46458371,1203047964,6173474,1.03462E+12,2836339233,12531.12,44.64285714,Relatively Moderate
LO,Annapolis,MD,MD_Annapolis_LO,,8a,0,1,0,0,0,0,0,1,10,8,38.97864,-76.49279,0.948595803,6.597604055,313073,6173474,1.03462E+12,2836339233,12531.12,44.64285714,Relatively Moderate
CC,Baltimore,MD,BaltimoreCode_MD,,8a,0,1,1,1,1,1,0,5,14,8,39.29088,-76.61076,0.948610687,44.9411059,7415617612,6173474,1.03462E+12,2836339233,12531.12,44.64285714,Relatively Moderate
CC,BelAir,MD,BelAirCode_MD,,8a,0,1,0,1,1,1,0,4,50,8,39.32156,-76.56787,0.959747588,37.83150105,1663822952,6173474,1.03462E+12,2836339233,12531.12,44.64285714,Relatively Moderate
